set_name,location,lat,lng,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=3GmGYCqEmZg&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@AdamandMadalyn,Adam and Madalyn,"20 Things to do in New Orleans, Louisiana | Things to do + Where to Stay in New Orleans",272K,1 year,"New Orleans, Louisiana is one of our favorite cities to visit in the United States. First off, we discuss things to do in New Orleans as ...",2026-01-22 00:46:32.942504
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=TgGfohYFW9k&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@EatSeeTV,Eat See TV,"3 Days in New Orleans—Best Things To Do, Eat, + See (Travel Guide)",202K,5 months,BOOK YOUR STAY at the Best Western Plus St. Christopher Hotel in New Orleans → https://link.eatseerv.com/NOLA_BW ...,2026-01-22 00:46:32.944207
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=K--7b15SCoM&pp=ygUPTmV3IE9ybGVhbnMsIExB0gcJCYcKAYcqIYzv,/@RealSamanthaBrown,RealSamanthaBrown,"New Orleans, Louisiana - Samantha Brown's Places to Love FULL 4K EPISODE",60K,5 months,Travel Itinerary for This Episode: https://samantha-brown.com/episodes/season-8/new-orleans/ There's nowhere in the world quite ...,2026-01-22 00:46:32.945832
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=caiqogV3SsM&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@CBSSundayMorning,CBS Sunday Morning,"By Design — A Weekend in New Orleans | ""CBS Sunday Morning"" Full Episode",234K,8 months,"Jane Pauley hosts our special broadcast in New Orleans, Louisiana. Watch the full ""CBS Sunday Morning"" episode that aired on ...",2026-01-22 00:46:32.948111
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=r6EKWknjAyY&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@IslandHopperTV,Island Hopper TV,Best Things To Do in New Orleans Louisiana 2026 4K,170K,1 year,Are you looking for the best things to do in New Orleans? We just created a list of 19 must do activities for you to do while visiting ...,2026-01-22 00:46:32.949758
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=ROXcAO9znIk&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@TerrebonneParish,TerrebonneParish,New Orleans - The Natural History,366K,13 years,"I set out to understand why my hometown is where it is. Certainly not for the weather, mosquitoes, threat of disaster... It turns out to ...",2026-01-22 00:46:32.951414
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=wIc1GC7OBYY&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@TravelGuides_USA,Travel Guides USA 🇺🇸,"10 BEST Things To Do In New Orleans, Louisiana",25K,1 year,Your New Orleans guide to the best things to do in the Big Easy! Don't miss checking out these MUST-SEE attractions that you will ...,2026-01-22 00:46:32.953056
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=sQRNkpGkT2Y&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@Expedia,Expedia,New Orleans Vacation Travel Guide | Expedia,921K,12 years,"Update: This New Orleans travel guide was originally made over a decade ago, and while the live music of Frenchmen Street and ...",2026-01-22 00:46:32.955132
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=fFWJc2bXOvk&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@HungryPassport,Hungry Passport,TOP 10 Things to do in NEW ORLEANS | NOLA Travel Guide 4K,1.3M,6 years,NEW ORLEANS TRAVEL GUIDE Get our New Orleans PDF Guide for ONLY $6.99 https://gum.co/NolGD By purchasing ...,2026-01-22 00:46:32.956862
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=DjY5ZA1D2nA&pp=ygUPTmV3IE9ybGVhbnMsIExB0gcJCYcKAYcqIYzv,/@newsocracy,Newsocracy,30 things to see & do in New Orleans in 2026,52K,6 months,"New Orleans is a one-of-a-kind destination that's home to a rich gumbo: A mix of history, culture, food and music that blends into a ...",2026-01-22 00:46:32.957939
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=ycDa3Ftw-qo&pp=ygUPTmV3IE9ybGVhbnMsIExB0gcJCYcKAYcqIYzv,/@PeterSantenello,Peter Santenello,Exploring New Orleans - America's Wildest City 🇺🇸,2.7M,1 year,"For someone to fully understand how different America can be, they need to experience New Orleans. Today, we meet up with a ...",2026-01-22 00:46:32.959293
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=AXo03TdCplg&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@FreeToursbyFootHQ,New Orleans Tours by Foot,New Orleans Tourist Traps and Things to Avoid,1M,4 years,"In today's video, Andrew, a tour guide with New orleansTours by Foot details some of the top tourist traps and things that are best ...",2026-01-22 00:46:32.961034
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=9zlZNpOQE5M&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@AlextheHistorian,Alex the Historian,New Orleans *FRENCH QUARTER* History Tour,108K,9 months,"A peek into the design of the New Orleans French Quarter and its architecture. We tour the history, engineering, and ...",2026-01-22 00:46:32.962124
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=OwsyTmNB-aQ&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@woltersworld,Wolters World,Visit New Orleans - The Don'ts of Visiting New Orleans,2.4M,7 years,"New Orleans, The Big Easy is one of the best tourist destinations in the USA. From the historic architecture in the French Quarter, ...",2026-01-22 00:46:32.964241
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=SECRx5SVNnw&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@woltersworld,Wolters World,What 1st time visitors to New Orleans need to know,271K,4 years,"Wanting tourist information on visiting New Orleans, from airport information, public transportation, sights, and a lot of other great ...",2026-01-22 00:46:32.965772
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=njn5QUJrhUE&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@NatGeo,National Geographic,"Voodoo, Torture, and Pirates: New Orleans History Revealed | Hidden History | National Geographic",491K,10 months,"New Orleans is known for its lively Mardi Gras celebrations, soulful jazz musicians, and flavor-filled cuisine. Historian Kahlil ...",2026-01-22 00:46:32.967412
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=zCrcpahiYMM&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@AETV,A&E,"Mobsters: New Orleans Mafia Boss - Full Episode (S1, E22) | A&E",4.4M,4 years,Carlos Marcello grew up in the mysterious milieu of New Orleans in the early 20th Century to become the city's mafia boss for ...,2026-01-22 00:46:40.797337
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=3CeUjOxl2bE&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@BrunchBoys,Jeremy Jacobowitz,12 MUST EAT New Orleans Restaurants! | Jeremy Jacobowitz,278K,2 years,Jeremy Jacobowitz in New Orleans looking for all of the best food the city has to offer! From the best sandwiches at Turkey and the ...,2026-01-22 00:46:40.806422
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=aY6sjNUPhD4&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@ExploreNatureToday,Explore Nature Today,UNSEEN LOUISIANA - Secret Places Only Locals Know About,299K,6 months,... Fishing Community 34:14 New Orleans - The Crescent City 35:06 French Quarter - America's Most Historic Neighborhood 36:42 ...,2026-01-22 00:46:40.807819
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=dVpEEBcE8tc&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@RealLifeLore,RealLifeLore,Why New Orleans' Geography SUCKS,4M,4 years,Watch this video ad-free on Nebula: https://nebula.tv/videos/real-life-lore-why-new-orleans-geography-sucks Please Subscribe: ...,2026-01-22 00:46:40.812060
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/v5HMqkVFXz4,/@JustinPlusLauren,Justin Plus Lauren,"5 Best Things to Do in New Orleans, Louisiana: NOLA Travel Guide",309K,2 years,,2026-01-22 00:46:48.114134
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/jLGE98r9pz8,/@FollowMeAway,Follow Me Away,"📍 New Orleans, LA 😍  #nola #neworleans #louisiana #thingstodo #traveltips #weekendgetaway",82K,1 year,,2026-01-22 00:46:48.116426
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/wlVv-YISSKk,/@uncoveredreal,Uncovered,Why New Orleans Won't Exist in the Future?,257K,2 years,conqueror #empire #history #demographics #geography #conquest #strength #population #unitedstates #louisiana #mississippi ...,2026-01-22 00:46:48.117778
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/gnqYkeDOJlQ,/@Jacksofalltrades318,JOATgangSlim,Take this advice if you’re visiting New Orleans! #trendingshorts #explore  #reccomended #NewOrleans,2.3M,2 years,,2026-01-22 00:46:48.119007
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/89cZY7Ww7EU,/@mindlab_,Mindlab,Joe Rogan's Interesting Opinion On New Orleans🤔,1.1M,2 years,"JRE Podcast Host, UFC Commentator & Stand Up Comic Joe Rogan Talks To Greg Fitzsimmons About New Orlean's Culture And ...",2026-01-22 00:46:48.120456
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=SQFxxJg8shY&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@DroneProfs,Drone Profs,New Orleans 🇺🇸 Louisiana 4K Drone,55K,4 years,"Get unlimited access to more than 4 million digital assets like Stock Footage, After Effects Templates, Music Tracks, and more.",2026-01-22 00:46:48.121663
high_risk,"New Orleans, LA",29.9511,-90.0715,/watch?v=VcZ4g8CRF9E&pp=ygUPTmV3IE9ybGVhbnMsIExB,/@MileageMikeTravels,Mileage Mike Travels,New Orleans - Louisiana - 4K Downtown Drive,33K,4 years,"Afternoon drive around the downtown area of New Orleans, LA. Filmed: December 2021 Cities Explored: ...",2026-01-22 00:46:48.122997
high_risk,"New Orleans, LA",29.9511,-90.0715,/shorts/IXVklB4uQl8,/@Tryittoronto,Sai Balaji,TRAVEL BUCKETLIST - New Orleans Louisiana Things To Do 🌍 #travel #travelvlog #foodie #foodie,27K,1 year,,2026-01-22 00:46:48.125402
